,Unnamed: 0,timestamp_posix,temporaryId,latitude,longitude,speed,heading,length,width,position_on_map,x,y,speed_x,speed_y,accel_x,accel_y,ang_speed,radius,steering_angle,steering_angle_rate,sub_group
1881,1881,1623249767.029622,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1882,1882,1623249767.133279,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1883,1883,1623249767.229228,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1884,1884,1623249767.329548,1768009833,33.8601912,-112.111919,0.0,204.0,4.97,184,inbound,397146.3033885744,3747210.539976256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1885,1885,1623249767.431693,1768009833,33.8601912,-112.111919,0.0,204.0,4.97,184,inbound,397146.3033885744,3747210.539976256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1886,1886,1623249767.532701,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1887,1887,1623249767.634714,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1888,1888,1623249767.730748,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1889,1889,1623249767.835743,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1890,1890,1623249767.939265,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1891,1891,1623249768.047283,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1892,1892,1623249768.142094,1768009833,33.860191,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2938982019,3747210.517899596,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1893,1893,1623249768.241127,1768009833,33.860191,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2938982019,3747210.517899596,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1894,1894,1623249768.345371,1768009833,33.8601911,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2847675622,3747210.5290879807,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1895,1895,1623249768.508807,1768009833,33.860191,-112.1119193,0.0,204.0,4.97,184,inbound,397146.2753971005,3747210.518099669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1896,1896,1623249768.608149,1768009833,33.860191,-112.1119194,0.0,204.0,4.97,184,inbound,397146.2661465498,3747210.5181997065,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1897,1897,1623249768.710639,1768009833,33.860191,-112.1119193,0.0,204.0,4.97,184,inbound,397146.2753971005,3747210.518099669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1898,1898,1623249768.80764,1768009833,33.860191,-112.1119193,0.0,204.0,4.97,184,inbound,397146.2753971005,3747210.518099669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
